row,payload,status,error
107,"{'batch_id': 9, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ECO CEMENTO DARK SEMIBRILLO COMERCIAL', 'code': 'PAPAR600IZ020001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
108,"{'batch_id': 17, 'measure_unit_id': 2, 'name': 'CERA. 19X60 CARRARA VENATO BRILLO', 'code': 'PAPCA19I51M10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
109,"{'batch_id': 17, 'measure_unit_id': 2, 'name': 'CERA. 20X60 MADERA CENIZA MATE', 'code': 'PAPCA19I61X10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
110,"{'batch_id': 40, 'measure_unit_id': 2, 'name': 'GRES. 60X60 FERRARA BLANCO SEMIBRILLO COMERCIAL', 'code': 'PAPEL6000CI20002'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
111,"{'batch_id': 45, 'measure_unit_id': 2, 'name': 'GRES. 60X60 MOON WHITE MATE', 'code': 'PAPEL6000MK10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
112,"{'batch_id': 44, 'measure_unit_id': 2, 'name': 'GRES. 60X60 MARMORE CREMA MATE', 'code': 'PAPEL600IW010001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
113,"{'batch_id': 42, 'measure_unit_id': 2, 'name': 'GRES. 60X60 TERRAZO GRIGIO MATE', 'code': 'PAPEL600IW410001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
114,"{'batch_id': 41, 'measure_unit_id': 2, 'name': 'GRES. 60X60 ATLAS SILVER MATE', 'code': 'PAPEL600IW510001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
115,"{'batch_id': 43, 'measure_unit_id': 2, 'name': 'GRES. 60X60 ATLAS GRAY MATE', 'code': 'PAPEL600IW610001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
116,"{'batch_id': 115, 'measure_unit_id': 2, 'name': 'CERA. 41X41 ELVIS GRIS MATE BOLD.', 'code': 'PAPPL4100BK10002'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
117,"{'batch_id': 114, 'measure_unit_id': 2, 'name': 'CERA. 41X41 LINO GRIS BOLD', 'code': 'PAPPL4100J710001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
118,"{'batch_id': 112, 'measure_unit_id': 2, 'name': 'CERA. 41X41 LUNA GRAFFITO MATE', 'code': 'PAPPL4100JQ10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
119,"{'batch_id': 113, 'measure_unit_id': 2, 'name': 'CERA. 41X41 OXIDUM HIERRO MATE', 'code': 'PAPPL4100OT10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
120,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 ELVIS GRIS MATE', 'code': 'PAPPL6000BK10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
121,"{'batch_id': 117, 'measure_unit_id': 2, 'name': 'CERA. 60X60 LEÑO WENGUE MATE', 'code': 'PAPPL6000IL10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
122,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 MADERA MARFIL SEMIBRILLO', 'code': 'PAPPL6000K710001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
124,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 STEELIX CREAM BRILLO', 'code': 'PAPPL60055O10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
125,"{'batch_id': 22, 'measure_unit_id': 2, 'name': 'CERA. 60X60 STEELIX GRAY BRILLO', 'code': 'PAPPL60055P10001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
126,"{'batch_id': 7, 'measure_unit_id': 2, 'name': 'CERA. 60X60 PIETRA LAJA BEIGE EXT', 'code': 'PAPPL600IX310001'}",400,"{""error"":[""Los campos batch_id, code deben formar un conjunto único.""]}"
